Age group (years),Aust-born males (%),OS-born males (%),Aust-born females (%),OS-born females (%)
0 - 4,2.8,0.1,2.7,0.1
05 - 9,2.8,0.3,2.7,0.3
10 - 14,2.8,0.4,2.6,0.4
15 - 19,2.6,0.6,2.4,0.5
20 - 24,2.3,1,2.2,0.9
25 - 29,2.3,1.3,2.2,1.3
30 - 34,2.3,1.4,2.2,1.6
35 - 39,2.1,1.5,2.1,1.6
40 - 44,1.9,1.4,2,1.4
45 - 49,1.9,1.1,1.9,1.1
50 - 54,2.1,1,2.1,1.1
55 - 59,1.8,1,1.9,1
60 - 64,1.8,0.9,1.9,1
65 - 69,1.6,0.8,1.7,0.9
70 - 74,1.3,0.7,1.5,0.8
75 - 79,1,0.7,1.1,0.7
80 - 84,0.6,0.4,0.7,0.4
85 - 89,0.3,0.2,0.5,0.3
90 - 94,0.1,0.1,0.2,0.1
95 - 99,0,0,0.1,0
