Region,SA3 Area,NOM in 2022 and 2023
Greater Melbourne,Melbourne City,25489
Greater Sydney,Sydney Inner City,24917
Greater Melbourne,Monash,14816
Greater Sydney,Parramatta,13226
Greater Melbourne,Wyndham,12311
Greater Sydney,Strathfield - Burwood - Ashfield,11468
Greater Sydney,Eastern Suburbs - South,11467
Greater Melbourne,Dandenong,11302
Greater Sydney,Kogarah - Rockdale,9303
Greater Sydney,Ryde - Hunters Hill,8422
Greater Brisbane,Brisbane Inner,8371
Greater Perth,Stirling,8240
Greater Perth,Perth City,7972
Greater Melbourne,Glen Eira,7936
Greater Melbourne,Whitehorse - West,7812
Greater Melbourne,Boroondara,7739
Greater Sydney,Auburn,7724
Greater Melbourne,Tullamarine - Broadmeadows,7651
Greater Sydney,Hurstville,7444
Greater Melbourne,Port Phillip,7393
Greater Melbourne,Brimbank,7306
Greater Sydney,Canterbury,7298
Greater Sydney,Whittlesea - Wallan,7171
Greater Perth,Eastern Suburbs - North,7070
Greater Sydney,Fairfield,6604
Greater Sydney,Chatswood - Lane Cove,6561
Greater Sydney,Blacktown,5333
Greater Melbourne,Casey - South,632
Greater Melbourne,Yarra,6121
Greater Sydney,Merrylands - Guildford,5838
Greater Sydney,Maribyrnong,5824
Greater Sydney,Darebin - North,5625
Greater Perth,Wanneroo,5619
Greater Melbourne,Bankstown,5311
Greater Melbourne,North Sydney - Mosman,5193
Greater Melbourne,Baulkham Hills,5150
Greater Sydney,Warringah,4935
Greater Sydney,Gosnells,4903
Greater Sydney,Manningham - West,4811
Greater Sydney,Brunswick - Coburg,4741
Greater Perth,Stonnington - West,4601
Greater Melbourne,Ku-ring-gai,4512
Greater Melbourne,Blacktown - North,4298
Greater Melbourne,Joondalup,4123
Greater Sydney,Newcastle,3909
Greater Sydney,Liverpool,4023
Greater Perth,Cottesloe - Claremont,3655
Greater Sydney,Canada Bay,3607
Greater Brisbane,Mt Gravatt,3742
Greater Melbourne,Moreland - North,3811
Greater Sydney,Wollongong,3789
Greater Brisbane,Sherwood - Indooroopilly,3892
Greater Melbourne,Melton - Bacchus Marsh,3829
Greater Adelaide,Salisbury,3796
Rest of New South Wales,Wollongong,3789
Greater Brisbane,Mt Gravatt,3742
Rest of Victoria,Geelong,3683
Greater Perth,Cottesloe - Claremont,3655
Greater Perth,Melville,3645
Greater Sydney,Canada Bay,3607
Greater Melbourne,Knox,3589
Rest of Queensland,Ormeau - Oxenford,3540
Greater Perth,Swan,3530
Greater Adelaide,Charles Sturt,3454
Greater Melbourne,Banyule,3412
Greater Melbourne,Kingston,3396
Greater Adelaide,Marion,3332
Greater Melbourne,Essendon,3328
Greater Adelaide,West Torrens,3289
Greater Brisbane,Sunnybank,3287
Greater Adelaide,Port Adelaide - East,3281
Greater Melbourne,Bayside,3257
Greater Sydney,Hornsby,3216
Rest of Queensland,Surfers Paradise,3172
Greater Perth,Cockburn,3121
Greater Perth,Rockingham,2991
Greater Adelaide,Adelaide City,2967
Greater Sydney,Mount Druitt,2955
Greater Perth,Bayswater - Bassendean,2934
Greater Sydney,North Canberra,2922
Greater Sydney,Carlingford,2920
Greater Brisbane,Botany,2885
Rest of Queensland,Holland Park - Yeronga,2853
Rest of Queensland,Southport,2846
Greater Brisbane,Maroondah,2761
Greater Sydney,Gosford,2730
Greater Sydney,Bringelly - Green Valley,2685
Australian Capital Territory,Belconnen,2675
Greater Sydney,Rocklea - Acacia Ridge,2641
Greater Sydney,Pennant Hills - Epping,2604
Greater Brisbane,Springwood - Kingston,2572
Rest of Queensland,Whitehorse - East,2568
Greater Melbourne,Toowoomba,2547
Greater Sydney,Brisbane Inner - West,2500
Greater Sydney,Townsville,2424
Greater Brisbane,Springfield - Redbank,2395
Greater Brisbane,Hobsons Bay,2389
Greater Brisbane,Hobart Inner,2341
Greater Perth,Broadbeach - Burleigh,2329
Greater Brisbane,Forest Lake - Oxley,2307
Greater Brisbane,Marrickville-Sydenham-Petersham,2277
Greater Brisbane,Gungahlin,2255
Rest of New South Wales,Cronulla - Miranda - Caringbah,2250
Rest of Northern Territory,Penrith,2236
Rest of Tasmania,Cairns - South,2197
Rest of Queensland,Frankston,2196
Greater Brisbane,Stonnington - East,2190
Greater Hobart,South Perth,2181
Rest of Queensland,Manly,2133
Greater Brisbane,Armadale,2103
Rest of New South Wales,North Lakes,2061
Rest of Queensland,Gold Coast - North,2043
Greater Sydney,Robina,1987
Greater Melbourne,Mornington Peninsula,1984
Greater Adelaide,Campbelltown (SA),1962
Rest of South Australia,Norwood - Payneham - St Peters,1929
Rest of New South Wales,Mandurah,1913
Greater Sydney,Wyong,1575
Greater Brisbane,Brisbane Inner - East,1563
Rest of Queensland,Launceston,1537
Greater Melbourne,Tea Tree Gully,1511
Greater Sydney,Richmond Valley - Coastal,1498
Greater Brisbane,Chermside,1472
Greater Adelaide,Pittwater,1464
Greater Adelaide,Carindale,1464
Rest of Northern Territory,Buderim,1464
Greater Sydney,Fremantle,1411
Greater Melbourne,Ballarat,1394
Greater Brisbane,Loganlea - Carbrook,1368
Rest of Queensland,Holdfast Bay,1365
Rest of Queensland,Coolangatta,1348
Greater Adelaide,Sandgate,1345
Greater Melbourne,Coffs Harbour,1331
Greater Brisbane,Playford,1316
Greater Brisbane,Nerang,1274
Greater Brisbane,Noosa,1244
Greater Sydney,Nundah,1243
Greater Sydney,Bundaberg,1231
Greater Sydney,Bunbury,1222
Rest of Queensland,Ipswich Inner,1216
Rest of Victoria,Keilor,1208
Rest of Queensland,Prospect - Walkerville,1202
Rest of Queensland,Wynnum - Manly,1201
Rest of Queensland,Tweed Valley,1194
Rest of Tasmania,Rouse Hill - McGraths Hill,1193
Greater Sydney,Shepparton,1178
Greater Melbourne,Kwinana,1166
Greater Brisbane,The Hills District,1155
Greater Brisbane,Wagga Wagga,1144
Greater Perth,Mundaring,1111
Greater Sydney,Richmond Valley - Hinterland,1086
Rest of South Australia,West Pilbara,1085
Rest of Victoria,Ipswich Hinterland,1066
Rest of New South Wales,Hobart - South and West,1055
Greater Brisbane,Sunbury,1047
Rest of Queensland,Jimboomba,1046
Rest of New South Wales,Weston Creek,1022
Rest of Queensland,Gippsland - South West,1019
Greater Melbourne,Lower Hunter,1002
Greater Brisbane,Grampians,996
Rest of Queensland,Innisfail - Cassowary Coast,974
Greater Brisbane,Mid West,962
Rest of New South Wales,South Coast,941
Greater Melbourne,Manningham - East,909
Rest of New South Wales,Serpentine - Jarrahdale,893
Rest of Victoria,Murray River - Swan Hill,886
Greater Brisbane,Tablelands (East) - Kuranda,883
Rest of Tasmania,Burnett,873
Rest of Queensland,East Pilbara,840
Rest of Western Australia,Wellington,814
Rest of Queensland,Dural - Wisemans Ferry,810
Rest of New South Wales,Bathurst,787
Rest of Victoria,Bribie - Beachmere,777
Greater Brisbane,Goulburn - Mulwaree,773
Greater Darwin,Heathcote - Castlemaine - Kyneton,759
Rest of Northern Territory,Fleurieu - Kangaroo Island,757
Greater Sydney,Devonport,756
Rest of Tasmania,Eyre Peninsula and South West,743
Rest of Tasmania,Baw Baw,732
Greater Brisbane,Wollondilly,724
Rest of Western Australia,Richmond - Windsor,723
Greater Brisbane,Outback - North,717
Greater Melbourne,Snowy Mountains,715
Greater Brisbane,Charters Towers - Ayr - Ingham,711
Rest of Victoria,Upper Murray exc. Albury,711
Greater Brisbane,Ipswich Hinterland,536
Ipswich Hinterland,Hobart - South and West,536
Greater Hobart,Sunbury,535
Greater Melbourne,Jimboomba,534
Greater Brisbane,Weston Creek,527
Greater Brisbane,Gippsland - South West,522
Australian Capital Territory,Lower Hunter,516
Rest of Victoria,Grampians,500
Rest of Queensland,Innisfail - Cassowary Coast,495
Greater Perth,Mid West,494
Rest of New South Wales,South Coast,489
Rest of Tasmania,Manningham - East,483
Rest of Queensland,Serpentine - Jarrahdale,454
Rest of Western Australia,Murray River - Swan Hill,447
Greater Melbourne,Tablelands (East) - Kuranda,446
Greater Perth,Burnett,434
Rest of Victoria,East Pilbara,427
Rest of South Australia,Wellington,425
Rest of Victoria,Dural - Wisemans Ferry,424
Rest of Queensland,Bathurst,420
Greater Brisbane,Bribie - Beachmere,411
Rest of Victoria,Heathcote - Castlemaine - Kyneton,409
Rest of New South Wales,Fleurieu - Kangaroo Island,404
Greater Sydney,Devonport,403
Greater Melbourne,Eyre Peninsula and South West,388
Greater Brisbane,Baw Baw,367
Greater Perth,Wollondilly,363
Rest of Victoria,Richmond - Windsor,358
Rest of Queensland,Outback - North,349
Greater Perth,Snowy Mountains,349
Rest of New South Wales,Charters Towers - Ayr - Ingham,348
Greater Sydney,Upper Murray exc. Albury,345
Greater Sydney,Upper Hunter,335
Rest of Queensland,Kempsey - Nambucca,322
Rest of Victoria,Clarence Valley,318
Rest of New South Wales,Gympie - Cooloola,313
Rest of Queensland,Colac - Corangamite,311
Greater Melbourne,Burnie - Ulverstone,310
Rest of Victoria,Macedon Ranges,306
Rest of South Australia,Outback - North and East,304
Greater Brisbane,Gold Coast Hinterland,297
Rest of Victoria,Central Highlands (Qld),291
Greater Hobart,Young - Yass,287
Greater Hobart,Lachlan Valley,287
Rest of Queensland,Port Douglas - Daintree,286
Rest of Queensland,Darling Downs (West) - Maranoa,284
Rest of Queensland,Wangaratta - Benalla,284
Rest of Queensland,Maryborough,281
Rest of Northern Territory,Noosa Hinterland,277
Rest of New South Wales,Barossa,269
Rest of Queensland,Darling Downs - East,269
Greater Brisbane,Gippsland - East,267
Rest of Tasmania,Inverell - Tenterfield,266
Rest of South Australia,Taree - Gloucester,265
Rest of New South Wales,Granite Belt,261
Rest of Queensland,Campaspe,247
Rest of New South Wales,North East,233
Rest of Northern Territory,Molonglo,231
Rest of Tasmania,Glenelg - Southern Grampians,229
Rest of Western Australia,Huon - Bruny Island,221
